barcode,sample_id,sample_type,location,parasitemia,postclean_qubit
barcode01,3D7,Positive,,,124.0
barcode02,Dd2,Positive,,,87.0
barcode03,HB3,Positive,,,30.2
barcode04,IPC3445,Positive,,,240.0
barcode05,IPC3663,Positive,,,189.0
barcode06,Human,Negative,,,22.6
barcode07,NTC,Negative,,,0.0658
barcode08,8020886,Field,,,172.0
barcode09,8020887,Field,,,85.4
barcode10,8020888,Field,,,101.0
barcode11,8020889,Field,,,122.0
barcode12,8020890,Field,,,320.0
barcode13,8020891,Field,,,190.0
barcode14,8020892,Field,,,158.0
barcode15,8020893,Field,,,124.0
barcode16,8020894,Field,,,27.8
barcode17,8020895,Field,,,124.0
barcode18,8020896,Field,,,160.0
barcode19,8020897,Field,,,350.0
barcode20,8020898,Field,,,197.0
barcode21,8020899,Field,,,320.0
barcode22,8020900,Field,,,118.0
barcode23,8020901,Field,,,89.2
barcode24,8020902,Field,,,108.0
barcode25,8020903,Field,,,135.0
barcode26,8020904,Field,,,208.0
barcode27,8020910,Field,,,202.0
barcode28,8020905,Field,,,376.0
barcode29,8020906,Field,,,304.0
barcode30,8020907,Field,,,262.0
barcode31,8020909,Field,,,210.0
barcode32,8020908,Field,,,162.0
barcode33,8030860,Field,,,1.4
barcode34,8030861,Field,,,4.08
barcode35,8030874,Field,,,27.8
barcode36,8030875,Field,,,2.26
barcode37,8030883,Field,,,5.22
barcode38,8030884,Field,,,51.6
barcode39,8030885,Field,,,51.0
barcode40,8030887,Field,,,1.27
barcode41,8030892,Field,,,64.6
barcode42,8030893,Field,,,0.758
barcode43,8030896,Field,,,1.4
barcode44,8030904,Field,,,2.62
barcode45,8030905,Field,,,1.64
barcode46,8030907,Field,,,1.94
barcode47,8030910,Field,,,43.6
barcode48,8011159,Field,,,112.0
barcode49,8011162,Field,,,30.6
barcode50,8011164,Field,,,30.0
barcode51,8011166,Field,,,83.8
barcode52,8011167,Field,,,290.0
barcode53,8031937,Field,,,140.0
barcode54,8031944,Field,,,39.2
barcode55,8031945,Field,,,129.0
barcode56,8031946,Field,,,122.0
barcode57,8031947,Field,,,40.2
barcode58,8031948,Field,,,80.8
barcode59,8031949,Field,,,169.0
barcode60,8031959,Field,,,182.0
barcode61,8031960,Field,,,2.04
barcode62,8031961,Field,,,234.0
barcode63,8031962,Field,,,189.0
barcode64,8031963,Field,,,4.12
barcode65,8031964,Field,,,51.0
barcode66,8031965,Field,,,11.8
barcode67,8031966,Field,,,94.6
barcode68,8031967,Field,,,6.62
barcode69,8031973,Field,,,168.0
barcode70,8031975,Field,,,114.0
barcode71,8031977,Field,,,150.0
barcode72,8031979,Field,,,2.84
barcode73,8031980,Field,,,0.716
barcode74,8031981,Field,,,122.0
barcode75,8031982,Field,,,194.0
barcode76,8010682,Field,,,164.0
barcode77,8010683,Field,,,20.0
barcode78,8010684,Field,,,34.8
barcode79,8010689,Field,,,1.85
barcode80,8010691,Field,,,0.528
barcode81,8010692,Field,,,52.2
barcode82,8010694,Field,,,192.0
barcode83,8010695,Field,,,100.0
barcode84,8010696,Field,,,1.42
barcode85,8010698,Field,,,3.58
barcode86,8010699,Field,,,171.0
barcode87,8010700,Field,,,66.8
barcode88,8010702,Field,,,53.2
barcode89,8010703,Field,,,44.6
barcode90,8010704,Field,,,0.276
barcode91,8010705,Field,,,158.0
barcode92,8010706,Field,,,147.0
barcode93,8010707,Field,,,137.0
barcode94,8010708,Field,,,72.2
barcode95,8010709,Field,,,0.538
barcode96,8010711,Field,,,92.4
