barcode,sample_id,sample_type,location,parasitemia,postclean_qubit
barcode01,3D7,Positive,,,80.0
barcode02,Dd2,Positive,,,45.6
barcode03,HB3,Positive,,,0.101
barcode04,IPC3445,Positive,,,59.0
barcode05,Human,Negative,,,3.76
barcode06,NTC,Negative,,,0.0514
barcode07,8013432,Field,,,52.8
barcode08,8013434,Field,,,97.8
barcode09,8013435,Field,,,35.0
barcode10,8013436,Field,,,99.6
barcode11,8013437,Field,,,27.0
barcode12,8013439,Field,,,76.4
barcode13,8013440,Field,,,20.6
barcode14,8013442,Field,,,40.8
barcode15,8013443,Field,,,78.0
barcode16,8013444,Field,,,40.8
barcode17,8013446,Field,,,111.0
barcode18,8013449,Field,,,108.0
barcode19,8013450,Field,,,86.8
barcode20,8013452,Field,,,71.0
barcode21,8013453,Field,,,139.0
barcode22,8013454,Field,,,11.0
barcode23,8013455,Field,,,35.2
barcode24,8013456,Field,,,69.2
barcode25,8013457,Field,,,0.996
barcode26,8013458,Field,,,31.4
barcode27,8013459,Field,,,33.6
barcode28,8013460,Field,,,98.8
barcode29,8013461,Field,,,100.0
barcode30,8013462,Field,,,3.98
barcode31,8013463,Field,,,1.4
barcode32,8013464,Field,,,94.4
barcode33,8013466,Field,,,9.6
barcode34,8013468,Field,,,110.0
barcode35,8013469,Field,,,86.8
barcode36,8013470,Field,,,99.0
barcode37,8013471,Field,,,37.4
barcode38,8013472,Field,,,34.0
barcode39,8013475,Field,,,26.0
barcode40,8013476,Field,,,16.2
barcode41,8013477,Field,,,101.0
barcode42,8013478,Field,,,50.4
barcode43,8013479,Field,,,6.94
barcode44,8013480,Field,,,51.2
barcode45,8013481,Field,,,55.0
barcode46,8013482,Field,,,33.6
barcode47,8013483,Field,,,0.28
barcode48,8013485,Field,,,9.74
barcode49,8013487,Field,,,89.2
barcode50,8013488,Field,,,13.6
barcode51,8013489,Field,,,60.4
barcode52,8013491,Field,,,18.7
barcode53,8013492,Field,,,3.68
barcode54,8013493,Field,,,0.324
barcode55,8013494,Field,,,94.6
barcode56,8013496,Field,,,4.66
barcode57,8013497,Field,,,4.76
barcode58,8013498,Field,,,52.0
barcode59,8013500,Field,,,11.2
barcode60,8013676,Field,,,61.8
barcode61,8013677,Field,,,57.6
barcode62,8013679,Field,,,57.6
barcode63,8013680,Field,,,23.4
barcode64,8013681,Field,,,14.1
barcode65,8013682,Field,,,17.8
barcode66,8013685,Field,,,28.6
barcode67,8013686,Field,,,89.0
barcode68,8013687,Field,,,18.1
barcode69,8013689,Field,,,106.0
barcode70,8022801,Field,,,31.0
barcode71,8022804,Field,,,23.4
barcode72,8022806,Field,,,49.4
barcode73,8022807,Field,,,30.2
barcode74,8022809,Field,,,76.0
barcode75,8022810,Field,,,0.768
barcode76,8022811,Field,,,5.98
barcode77,8022812,Field,,,0.109
barcode78,8022813,Field,,,0.0716
barcode79,8022814,Field,,,0.314
barcode80,8022816,Field,,,42.8
barcode81,8022817,Field,,,3.72
barcode82,8022818,Field,,,13.0
barcode83,8022819,Field,,,45.2
barcode84,8022820,Field,,,58.6
barcode85,8022821,Field,,,61.2
barcode86,8022822,Field,,,19.8
barcode87,8022823,Field,,,53.2
barcode88,8022824,Field,,,85.2
barcode89,8022825,Field,,,1.34
barcode90,8022831,Field,,,28.0
barcode91,8022832,Field,,,24.6
barcode92,8022833,Field,,,8.0
barcode93,8022835,Field,,,50.2
barcode94,8022837,Field,,,51.8
barcode95,8022838,Field,,,68.8
barcode96,8022839,Field,,,55.4
