barcode,sample_id,sample_type,location,parasitemia,postclean_qubit
barcode01,3D7,Positive,lusaka,,86.4
barcode02,Dd2,Positive,lusaka,,40.8
barcode03,HB3,Positive,lusaka,,125.0
barcode04,IPC3445,Positive,lusaka,,60.8
barcode05,Human,Negative,lusaka,,3.24
barcode06,NTC,Negative,lusaka,,0.2
barcode07,8033172,Field,lusaka,,54.6
barcode08,8033173,Field,lusaka,,36.4
barcode09,8033179,Field,lusaka,,16.9
barcode10,8033183,Field,lusaka,,33.4
barcode11,8033184,Field,lusaka,,0.0174
barcode12,8033185,Field,lusaka,,0.836
barcode13,8033330,Field,lusaka,,75.6
barcode14,8033331,Field,lusaka,,36.8
barcode15,8033333,Field,lusaka,,39.6
barcode16,8033334,Field,lusaka,,49.8
barcode17,8033335,Field,lusaka,,63.2
barcode18,8033336,Field,lusaka,,84.8
barcode19,8033338,Field,lusaka,,95.8
barcode20,8033339,Field,lusaka,,93.4
barcode21,8033340,Field,lusaka,,67.8
barcode22,8033341,Field,lusaka,,75.4
barcode23,8033342,Field,lusaka,,28.4
barcode24,8033343,Field,lusaka,,34.6
barcode25,8033344,Field,lusaka,,37.4
barcode26,8033346,Field,lusaka,,63.8
barcode27,8033348,Field,lusaka,,58.0
barcode28,8033349,Field,lusaka,,79.4
barcode29,8033352,Field,lusaka,,99.8
barcode30,8033353,Field,lusaka,,113.0
barcode31,8033354,Field,lusaka,,5.16
barcode32,8033355,Field,lusaka,,95.8
barcode33,8033357,Field,lusaka,,99.2
barcode34,8033358,Field,lusaka,,63.6
barcode35,8033360,Field,lusaka,,80.8
barcode36,8033364,Field,lusaka,,50.0
barcode37,8033365,Field,lusaka,,102.0
barcode38,8033366,Field,lusaka,,131.0
barcode39,8033367,Field,lusaka,,58.8
barcode40,8033368,Field,lusaka,,103.0
barcode41,8033369,Field,lusaka,,2.98
barcode42,8033370,Field,lusaka,,32.6
barcode43,8033372,Field,lusaka,,116.0
barcode44,8033373,Field,lusaka,,108.0
barcode45,8033375,Field,lusaka,,21.8
barcode46,8033376,Field,lusaka,,96.4
barcode47,8033379,Field,lusaka,,22.2
barcode48,8033381,Field,lusaka,,63.6
barcode49,8033385,Field,lusaka,,4.1
barcode50,8033386,Field,lusaka,,0.994
barcode51,8033387,Field,lusaka,,95.4
barcode52,8033388,Field,lusaka,,91.0
barcode53,8033390,Field,lusaka,,4.58
barcode54,8033392,Field,lusaka,,7.7
barcode55,8033393,Field,lusaka,,3.06
barcode56,8033396,Field,lusaka,,95.8
barcode57,8033397,Field,lusaka,,21.8
barcode58,8033398,Field,lusaka,,109.0
barcode59,8033401,Field,lusaka,,94.0
barcode60,8033402,Field,lusaka,,111.0
barcode61,8033405,Field,lusaka,,102.0
barcode62,8033406,Field,lusaka,,66.6
barcode63,8033409,Field,lusaka,,112.0
barcode64,8033410,Field,lusaka,,106.0
barcode65,8033412,Field,lusaka,,84.0
barcode66,8033414,Field,lusaka,,120.0
barcode67,8033415,Field,lusaka,,116.0
barcode68,8033416,Field,lusaka,,59.8
barcode69,8033417,Field,lusaka,,101.0
barcode70,8033419,Field,lusaka,,95.6
barcode71,8033422,Field,lusaka,,0.616
barcode72,8033423,Field,lusaka,,56.8
barcode73,8033424,Field,lusaka,,77.8
barcode74,8033425,Field,lusaka,,104.0
barcode75,8033426,Field,lusaka,,63.8
barcode76,8033431,Field,lusaka,,22.0
barcode77,8033432,Field,lusaka,,81.0
barcode78,8033433,Field,lusaka,,25.8
barcode79,8033434,Field,lusaka,,34.6
barcode80,8010837,Field,lusaka,,10.5
barcode81,8010839,Field,lusaka,,118.0
barcode82,8010840,Field,lusaka,,28.6
barcode83,8010841,Field,lusaka,,70.8
barcode84,8010842,Field,lusaka,,71.6
barcode85,8010843,Field,lusaka,,103.0
barcode86,8010845,Field,lusaka,,96.8
barcode87,8010846,Field,lusaka,,126.0
barcode88,8010848,Field,lusaka,,12.0
barcode89,8010849,Field,lusaka,,82.0
barcode90,8010851,Field,lusaka,,10.5
barcode91,8010852,Field,lusaka,,48.6
barcode92,8010854,Field,lusaka,,78.0
barcode93,8010855,Field,lusaka,,82.2
barcode94,8010856,Field,lusaka,,0.408
barcode95,8010857,Field,lusaka,,48.2
barcode96,8010858,Field,lusaka,,95.8
